sample_id,pair_id,image_path,label,manipulation_type,mask_path,box,verdict,confidence,evidence,invalid_reason,region_eval,category
018_fake,018,data/manipulated/kodim05_fake.png,manipulated,copy_move,data/masks/kodim05_mask.png,null,authentic,0.9,The riders' positions and the dirt bikes appear consistent with real-life motocross racing.,,no_region,wrong_verdict
012_fake,012,data/manipulated/kodim13_fake.png,manipulated,copy_move,data/masks/kodim13_mask.png,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,wrong_verdict
014_real,014,data/original/kodim07.png,authentic,copy_move,,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,authentic_ok
020_real,020,data/original/kodim08.png,authentic,copy_move,,null,authentic,0.95,The architecture and details in the image appear consistent with traditional German townhouses.,,no_region,authentic_ok
019_fake,019,data/manipulated/kodim20_fake.png,manipulated,copy_move,data/masks/kodim20_mask.png,null,authentic,0.9,No obvious signs of digital manipulation are present.,,no_region,wrong_verdict
018_real,018,data/original/kodim05.png,authentic,copy_move,,null,authentic,0.9,"The image shows a realistic scene of motocross riders lined up on their bikes, with no obvious signs of digital manipulation.",,no_region,authentic_ok
002_fake,002,data/manipulated/kodim06_fake.png,manipulated,copy_move,data/masks/kodim06_mask.png,"[0.44921875, 0.2265625, 0.5950520833333334, 0.37109375]",manipulated,0.8,"The rectangular area in the middle of the image appears to be a duplicate or an added element, indicating manipulation.",,hit,correct_verdict_correct_region
017_real,017,data/original/kodim23.png,authentic,copy_move,,null,authentic,0.95,The parrots appear natural with no obvious signs of digital manipulation.,,no_region,authentic_ok
009_fake,009,data/manipulated/kodim15_fake.png,manipulated,copy_move,data/masks/kodim15_mask.png,"[0.0007552083333333333, 0.396484375, 0.8359375, 0.53125]",manipulated,0.9,The nose appears unnaturally bright and lacks shadowing.,,miss,correct_verdict_wrong_region
001_fake,001,data/manipulated/kodim16_fake.png,manipulated,copy_move,data/masks/kodim16_mask.png,null,authentic,0.9,No visible signs of digital manipulation.,,no_region,wrong_verdict
009_real,009,data/original/kodim15.png,authentic,copy_move,,null,authentic,0.9,The face paint appears natural and there are no obvious signs of digital manipulation.,,no_region,authentic_ok
019_real,019,data/original/kodim20.png,authentic,copy_move,,null,authentic,0.9,The aircraft appears to be a real P-51 Mustang with no obvious signs of digital manipulation.,,no_region,authentic_ok
005_fake,005,data/manipulated/kodim14_fake.png,manipulated,copy_move,data/masks/kodim14_mask.png,"[0.8255208333333334, 0.400390625, 0.9440104166666666, 0.5078125]",manipulated,0.8,The rock formation in the inset appears to be digitally added.,,hit,correct_verdict_correct_region
